Rank,Title,Year,Country,Gener,Rating
194,牯岭街少年杀人事件,2009??,??英国,??科幻,8.9
195,小偷家族,2012??,??美国??,??喜剧,8.7
196,东京教父,1987??,??中国大陆??,??剧情,9
197,卢旺达饭店,1989??,??日本??,??动画,8.9
198,冰川时代,1991??,??中国台湾??,??剧情,8.7
199,忠犬八公物语,2018??,??日本??,??剧情,9.2
200,岁月神偷,2003??,??日本??,??剧情,8.7
201,遗愿清单,2004??,??英国,??剧情,8.7
202,白日梦想家,2002??,??美国??,??喜剧,8.6
203,爱乐之城,1987??,??日本??,"??剧情",8.4
204,花束般的恋爱,2010??,??中国香港,??剧情,8.6
205,源代码,2007??,??美国??,??冒险,8.6
206,大佛普拉斯,2013??,??美国,??剧情,8.7
207,荒蛮故事,2016??,??美国??,??剧情,8.7
208,疯狂的麦克斯4：狂暴之路,2021??,??日本??,??剧情,8.7
209,可可西里,2011??,??美国,??科幻,8.9
210,你看起来好像很好吃,2017??,??中国台湾??,??剧情,8.9
211,波西米亚狂想曲,2014??,??阿根廷,??剧情,8.6
212,贫民窟的百万富翁,2015??,??澳大利亚,??动作,8.6
213,大红灯笼高高挂,2004??,??中国大陆,??剧情,8.8
214,城市之光,2010??,??日本??,??剧情,9.3
215,无耻混蛋,2018??,??英国,??剧情,8.7
216,哈利·波特与死亡圣器(上),2008??,??英国??,??剧情,8.6
217,终结者2：审判日,1991??,??中国大陆,"??剧情",8.8
218,爆裂鼓手,1931??,??美国??,??喜剧,8.6
219,青蛇,2009??,??德国,??剧情,8.6
220,东邪西毒,2010??,??英国,??奇幻,8.6
221,黑天鹅,1991??,??美国,??动作,8.6
222,新龙门客栈,2014??,??美国??,??剧情,8.7
223,初恋这件小事,1993??,??中国香港,??剧情,8.5
224,千钧一发,1994??,??中国香港,??剧情,8.8
225,人工智能,2010??,??美国??,??剧情,8.7
226,崖上的波妞,1992??,??中国香港,??动作,8.6
227,彗星来的那一夜,2010??,??泰国??,??剧情,8.6
228,虎口脱险,1997??,??美国??,??剧情,8.9
229,哈利·波特与凤凰社,2001??,??美国??,??剧情,8.6
230,雨人,2008??,??日本??,??动画,8.7
231,海边的曼彻斯特,2013??,??美国,??科幻,8.6
232,罗生门,1966??,??法国,??喜剧,8.8
233,火星救援,2007??,??英国,??奇幻,8.5
234,恋恋笔记本,1988??,??美国??,"??剧情",8.5
235,冰雪奇缘,2016??,??美国??,??剧情,8.5
236,真爱至上,1950??,??日本??,??剧情,8.5
237,黑客帝国2：重装上阵,2015??,??英国,??剧情,8.7
238,蜘蛛侠：平行宇宙,2004??,??美国??,??剧情,8.6
239,步履不停,2013??,??美国??,??喜剧,8.8
240,谍影重重2,2003??,??英国,??喜剧,8.7
241,千年女优,2003??,??美国??,??动作,8.8
242,奇迹男孩,2018??,??美国??,??动作,8.6
243,战争之王,2008??,??日本??,??剧情,8.7
244,攻壳机动队,2004??,??美国,??动作,9
245,血钻,2001??,??日本??,??动画,8.7
246,小姐,2017??,??美国,??剧情,8.6
247,血观音,2005??,??美国,??剧情,8.6
248,隐藏人物,1995??,??日本??,??动作,8.9
249,魂断蓝桥,2006??,??美国,??剧情,8.8
250,谍影重重,2016??,??韩国??,??剧情,8.6
NA,NA,2017??,??中国台湾??,??剧情,NA
NA,NA,2016??,??美国??,??剧情,NA
NA,NA,1940??,??美国??,??剧情,NA
NA,NA,2002??,??美国,??动作,NA
